Index,POS,src_lemma,tgt_lemma
1,VERB,increase,augmenter
3,VERB,lift,lever
4,VERB,raise,hausser
5,VERB,elevate,élever
6,VERB,improve,améliorer
7,VERB,wake,réveiller
8,VERB,rise,monter
9,VERB,rise,se lever
10,NOUN,leader,chef
11,ADV,up,en haut
12,ADV,increasing,en augmentant
13,VERB,lower,réduire
13,VERB,lower,abaisser
13,VERB,lower,baisser
14,VERB,decrease,diminuer
14,VERB,decrease,réduire
14,VERB,decrease,décroitre
15,VERB,descend,descendre
16,NOUN,bottom,fond
17,NOUN,bottom,bas
17,NOUN,bottom,dessous
18,NOUN,lowness,modicité
19,NOUN,inferiority,infériorité
20,NOUN,shortness,petitesse
21,ADJ,down,bas
22,ADJ,low,faible
23,ADJ,inferior,inférieur
24,ADJ,short,court
25,NOUN,front,devant
26,NOUN,front,face
27,NOUN,front,façade
28,VERB,communicate,communiquer
29,ADJ,front,avant
30,NOUN,back,dos
30,NOUN,back,arrière
31,NOUN,rear,derrière
32,VERB,return,retourner
33,VERB,reverse,renverser
34,ADJ,back,arrière
35,ADV,back,dernier
36,NOUN,left,gauche
37,NOUN,past,passé
38,NOUN,past,passée
40,NOUN,pastness,passé
41,ADJ,left,gauche
42,ADJ,past,passé
43,ADJ,last,dernier
44,ADJ,last,dernier
45,ADJ,last,dernier
46,ADJ,last,dernier
47,ADJ,last,dernier
48,ADJ,last,dernier
49,ADJ,last,dernier
50,ADJ,last,dernier
51,ADJ,last,dernier
52,ADV,left,rien
53,NOUN,right,droite
54,NOUN,future,futur
55,NOUN,future,avenir
57,ADJ,right,juste
58,ADJ,future,futur
59,ADJ,next,suivant
60,ADJ,next,prochain
61,ADJ,next,à coté
62,ADV,right,juste
63,NOUN,nearness,proximité
64,NOUN,closeness,proximité
69,ADJ,near,rapproché
70,ADV,near,près
71,ADJ,close,proche
72,NOUN,distance,distance
73,NOUN,distance,écart
74,NOUN,farness,éloignement
75,ADJ,far,loin
76,ADV,far,lointain
77,ADV,away,loin
78,ADV,there,là
79,NOUN,distance,distance
80,NOUN,duration,durée
81,NOUN,duration,temps
83,NOUN,length,longueur
84,NOUN,length,durée
85,NOUN,length,étendue
88,NOUN,time,temps
89,NOUN,move,mouvement
90,VERB,distance,distancer
91,VERB,time,chronométrer
92,VERB,move,bouger
93,NOUN,smallness,petitesse
94,NOUN,decrease,diminution
95,NOUN,decrease,réduction
96,NOUN,decrease,baisse
97,NOUN,decrease,décroissance
98,NOUN,subtraction,soustraction
99,VERB,decrease,diminuer
100,VERB,subtract,soustraire
101,ADJ,less,moins
102,ADJ,small,petitesse
104,NOUN,bigness,grandeur
105,NOUN,increase,augmentation
106,NOUN,increase,accroissement
107,NOUN,increase,hausse
109,NOUN,increase,croissance
110,NOUN,addition,addition
111,VERB,increase,augmenter
112,VERB,add,ajouter
113,ADJ,more,plus
114,ADJ,big,grand
115,NOUN,container,récipient
116,VERB,contain,contenir
117,NOUN,inside,intérieur
118,VERB,enroll,inscrire
119,VERB,enter,entrer
120,ADJ,inside,à l'interieur
121,ADV,inside,interne
122,ADV,in,dedans
123,NOUN,outside,extérieur
124,VERB,exit,sortir
125,VERB,remove,enlever
126,VERB,empty,vider
127,ADJ,outside,extérieur
128,ADJ,outside,externe
129,ADV,out,dehors
130,NOUN,surface,superficie
131,NOUN,surface,surface
133,NOUN,plane,plan
134,NOUN,flatness,platitude
135,VERB,flatten,aplatir
136,ADJ,flat,plat
137,NOUN,total,total
138,NOUN,fullness,plénitude
139,VERB,fill,remplir
140,ADJ,full,plein
141,ADV,fully,pleinement
142,NOUN,empty,vide
143,NOUN,emptiness,vacuité
144,VERB,empty,vider
145,ADJ,empty,vide
146,ADV,however,cependant
147,ADV,however,toutefois
148,ADV,however,néanmoins
149,ADV,however,pourtant
150,ADV,but,mais
151,ADV,though,cependant
152,ADV,otherwise,autrement
153,ADV,otherwise,sinon
154,NOUN,help,aide
155,NOUN,support,support
156,NOUN,support,soutien
157,NOUN,support,appui
158,NOUN,support,aide
159,NOUN,support,base
160,NOUN,support,protection
166,VERB,request,demander
167,VERB,accept,accepter
168,VERB,serve,servir
169,VERB,support,supporter
170,VERB,support,soutenir
171,VERB,allow,permettre
172,VERB,allow,laisser
173,VERB,allow,autoriser
181,ADJ,supported,soutenu
182,NOUN,attraction,attraction
183,NOUN,pull,traction
184,VERB,stress,stresser
184,VERB,stress,souligner
185,VERB,pull,tirer
185,VERB,pull,presser
185,VERB,pull,appuyer
186,VERB,harvest,moissonner
188,NOUN,joining,jointtement
189,NOUN,combination,combinaison
190,NOUN,mix,mélange
191,NOUN,gathering,rassemblement
192,NOUN,gathering,réunion
193,VERB,integrate,intégrer
194,VERB,join,joindre
195,VERB,blend,mélanger
196,VERB,gather,réunir
197,VERB,gather,rassembler
198,VERB,gather,recueillir
199,VERB,gather,regrouper
205,VERB,merging,fusionner
206,VERB,merging,fondre
208,ADJ,merging,fusioné
209,ADJ,mixed,mixte
210,NOUN,repetition,répétition
211,VERB,calculate,calculer
212,VERB,recur,reproduire
213,ADV,repeatedly,reprise
214,ADV,also,aussi
215,ADV,fifthly,cinquième
216,ADV,fourthly,quatrième
217,ADV,thirdly,troisième
218,ADV,secondly,second
219,ADV,firstly,premier
220,NOUN,whole,tout
221,VERB,constitute,constituer
222,NOUN,relation,relation
223,VERB,join,joindre
224,VERB,link,lier
225,NOUN,entity,entitée
226,VERB,express,exprimer
227,VERB,make,faire
228,VERB,exist,exister
